bookname,rating_nums,imgurl,info,author,translater,publisher,price,_openid,total
金阁寺,8.7,https://img3.doubanio.com/view/subject/s/public/s3511590.jpg,[日] 三岛由纪夫 / 唐月梅 / 上海译文出版社 / 2009-1 / 24.00,[日] 三岛由纪夫 , 唐月梅 , 上海译文出版社 ,24,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
一个人的村庄,8.9,https://img9.doubanio.com/view/subject/s/public/s9018034.jpg,刘亮程 / 春风文艺出版社 / 2006-1-1 / 28.00元,刘亮程 ,none, 春风文艺出版社 , 28.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
美国宪政历程,9.1,https://img3.doubanio.com/view/subject/s/public/s24503563.jpg,任东来 / 中国法制出版社 / 2014-1 / 35.00元,任东来 ,none, 中国法制出版社 , 35.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
海底两万里,8.5,https://img9.doubanio.com/view/subject/s/public/s1817666.jpg,[法国] 儒尔·凡尔纳 / 沈国华 / 译林出版社 / 2002-9 / 19.50元,[法国] 儒尔·凡尔纳 , 沈国华 , 译林出版社 , 19.50元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
棋王·树王·孩子王,9.2,https://img3.doubanio.com/view/subject/s/public/s28688273.jpg,阿城 / 江苏文艺出版社 / 2016-3-1 / 58.00,阿城 ,none, 江苏文艺出版社 ,58,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
长袜子皮皮,9,https://img1.doubanio.com/view/subject/s/public/s1290828.jpg,[瑞典] 阿斯特丽德·林格伦 / 李之义 / 中国少年儿童出版社 / 1999-3 / 17.80元,[瑞典] 阿斯特丽德·林格伦 , 李之义 , 中国少年儿童出版社 , 17.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
批评官员的尺度,8.9,https://img1.doubanio.com/view/subject/s/public/s6643899.jpg,[美] 安东尼·刘易斯 / 何帆 / 北京大学出版社 / 2011-7 / 32.00元,[美] 安东尼·刘易斯 , 何帆 , 北京大学出版社 , 32.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
规训与惩罚,9.2,https://img1.doubanio.com/view/subject/s/public/s2522397.jpg,[法] 米歇尔·福柯 / 刘北成 / 生活·读书·新知三联书店 / 2003-1 / 21.80元,[法] 米歇尔·福柯 , 刘北成 , 生活·读书·新知三联书店 , 21.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
骆驼祥子,8.4,https://img3.doubanio.com/view/subject/s/public/s1146040.jpg,老舍 / 人民文学出版社 / 2000-3-1 / 12.00,老舍 ,none, 人民文学出版社 ,12,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
西方哲学史（上卷）,8.9,https://img1.doubanio.com/view/subject/s/public/s1562997.jpg,[英] 罗素 / 何兆武 / 商务印书馆 / 1963-9 / 25.00,[英] 罗素 , 何兆武 , 商务印书馆 ,25,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
尘埃落定,8.5,https://img3.doubanio.com/view/subject/s/public/s9140762.jpg,阿来 / 人民文学出版社 / 1998-3-1 / 22.0,阿来 ,none, 人民文学出版社 ,22,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
2001太空漫游,9.1,https://img3.doubanio.com/view/subject/s/public/s2798862.jpg,[英] 阿瑟·克拉克 / 郝明义 / 上海人民出版社 / 2007-11 / 28.00元,[英] 阿瑟·克拉克 , 郝明义 , 上海人民出版社 , 28.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
娱乐至死,8.5,https://img9.doubanio.com/view/subject/s/public/s6776106.jpg,[美] 尼尔·波兹曼 / 章艳 / 广西师范大学出版社 / 2011-6 / 29.80元,[美] 尼尔·波兹曼 , 章艳 , 广西师范大学出版社 , 29.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
过于喧嚣的孤独,8.8,https://img1.doubanio.com/view/subject/s/public/s24422879.jpg,(捷克) 赫拉巴尔 / 杨乐云 / 北京十月文艺出版社 / 2011-10 / 22.00元,(捷克) 赫拉巴尔 , 杨乐云 , 北京十月文艺出版社 , 22.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
了不起的盖茨比,8.7,https://img9.doubanio.com/view/subject/s/public/s9110246.jpg,[美] 斯科特·菲茨杰拉德 / 邓若虚 / 南海出版公司 / 2012-5 / 25.00元,[美] 斯科特·菲茨杰拉德 , 邓若虚 , 南海出版公司 , 25.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
那些回不去的年少时光·终场,8.7,https://img9.doubanio.com/view/subject/s/public/s4296814.jpg,桐华 / 江苏文艺出版社 / 2010-04 / 23.80元,桐华 ,none, 江苏文艺出版社 , 23.80元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
社会性动物,9.1,https://img3.doubanio.com/view/subject/s/public/s2783843.jpg,Elliot Aronson / 邢占军 / 华东师范大学出版社 / 2007-12 / 45.00元,Elliot Aronson , 邢占军 , 华东师范大学出版社 , 45.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
心理学与生活,8.8,https://img3.doubanio.com/view/subject/s/public/s1068520.jpg,[美] 理查德·格里格 / 王垒 / 人民邮电出版社 / 2003-10 / 88.00元,[美] 理查德·格里格 , 王垒 , 人民邮电出版社 , 88.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
纽约客,8.7,https://img3.doubanio.com/view/subject/s/public/s4526473.jpg,白先勇 / 广西师范大学出版社 / 2010-10 / 32.00元,白先勇 ,none, 广西师范大学出版社 , 32.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
小姨多鹤,8.6,https://img1.doubanio.com/view/subject/s/public/s4045138.jpg,严歌苓 / 作家出版社 / 2008-4 / 28.00元,严歌苓 ,none, 作家出版社 , 28.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
呼啸山庄,8.4,https://img3.doubanio.com/view/subject/s/public/s1095383.jpg,（英）勃朗特 / 张扬 / 人民文学出版社 / 1999-01-01 / 27.30元,（英）勃朗特 , 张扬 , 人民文学出版社 , 27.30元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
不存在的骑士,8.9,https://img3.doubanio.com/view/subject/s/public/s8972083.jpg,[意] 伊塔洛·卡尔维诺 / 吴正仪 / 译林出版社 / 2012-4 / 22.00元,[意] 伊塔洛·卡尔维诺 , 吴正仪 , 译林出版社 , 22.00元,oAfPr0DGqh9DzQepM6uogzk4TaV4,20
